"CODE";"Al";"CO3";"Ca";"Cl";"EC.25";"EC.CALC";"EC.MEAS";"EC25.VELD";"Fe";"HCO3";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"N_org";"Na";"O2.VELD";"OH";"Opmerking";"PO4";"PO4_P";"S";"SAL.VELD";"SAT.VELD";"SD.VELD";"SO4";"Si";"T.ANION";"T.KATION";"T.N";"T.P";"TEMP.VELD";"VERSCHIL.EC.ABS";"VERSCHIL.EC.PROC";"VERSCHIL.IC.ABS";"VERSCHIL.IC.PROC";"WD.VELD";"pH.25";"pH.VELD"
"TVGR203X";0,24;0,6;12,65;18,63;207,6;199,58;207,6;209;0,36;21,57;20,17;4,03;0,05;0,05;0,0388198757763975;0,02;0,00608920688080378;4,74;1,07075088099756;NA;1,11565996365476;NA;9,35;7,61;0,18;Inf;0,05;0,0163078930202218;4,66;0;74;Inf;12,05;1,06;1,8129;1,9191;NA;NA;6;8,02;3,86;0,106;2,4;0,05;6,32;6,13
"TVGR204X";0,35;0,6;14,15;11,45;173,2;168,07;173,2;173,2;0,23;28;9,46;3,93;0,05;0,05;0,0388198757763975;0,04;0,0121784137616076;8,32;1,87946146200416;NA;2,00338013138008;NA;8,7;7,41;0,18;Inf;0,11;0,0358773646444879;4,28;0;66,5;Inf;10,55;1,3;1,5571;1,6898;NA;NA;6,6;2,81;1,3;0,133;4,1;0,89;6,4;6,23
"TVGR205X";0,35;0,6;11,39;6,91;116,7;115,7;116,7;116;0,14;43,4;6,78;2,94;0,05;0,05;0,0388198757763975;0,02;0,00608920688080378;1,88;0,424686003433631;NA;0,469595086090833;NA;4,65;8,45;0,18;Inf;0,05;0,0163078930202218;2,29;0;69,1;Inf;4,35;0,25;1,0453;1,2268;NA;NA;6;0,2;0,11;0,181;7,8;0,77;6,62;6,44
"TVGR206X";0,05;0,6;5,93;2,48;51,6;48,49;51,6;47,8;0,05;17,92;1,11;0,38;0,05;0,05;0,0388198757763975;0,01;0,00304460344040189;2,63;0,59410861118641;NA;0,635973090403209;NA;2,13;10,26;0,18;Inf;0,05;0,0163078930202218;0,5;0;87,7;Inf;2,25;1,02;0,4532;0,4582;NA;NA;7,5;2,8;2,14;0,005;0,6;0,39;6,91;6,76
"TVGR207X";0,05;0,6;24,82;16,57;245;237,11;245;248;0,05;60,57;11,12;3,67;0,05;0,16;0,124223602484472;0,04;0,0121784137616076;7,44;1,68067226890756;NA;2,17269247675375;NA;10,63;6,89;0,18;Inf;0,05;0,0163078930202218;8,34;0;75;Inf;23,24;3,15;2,2221;2,3528;NA;NA;7,3;7,89;3,22;0,131;2,1;0,15;6,93;6,569
"TVGR208X";0,05;0,6;16,96;15,1;202,4;199,05;202,4;204;0,19;51,09;11,26;4,41;0,05;0,13;0,100931677018634;0,06;0,0182676206424113;0,87;0,196530224993223;NA;0,354549398430665;NA;9,94;6,93;0,18;Inf;0,05;0,0163078930202218;6,81;0;73,2;Inf;18,12;0,54;1,8113;1,9869;NA;NA;5,1;3,35;1,66;0,094;1,1;0,08;6,94;6,723
"TVGR209X";0,39;0,6;9,48;16,15;172,2;161,78;172,2;163;0,2;32,42;14,11;3,58;0,05;0,05;0,0388198757763975;0,04;0,0121784137616076;12,06;2,72431553266468;34,62;2,77531382220268;2,72425627288636;6,71;3,75;0,18;Inf;0,05;0,0163078930202218;4,33;0;39,4;Inf;11,44;0,98;1,4453;1,4632;11,73;0,0945;6;10,42;5,94;0,018;0,6;0,36;6,26;6,152
"TVGR210X";0,31;0,6;6,89;6,96;91,6;91,44;91,6;92,4;0,2;17,75;3,22;3,29;0,05;0,05;0,0388198757763975;0,01;0,00304460344040189;2,72;0,614439324116744;NA;0,656303803333543;NA;4,41;9,41;0,18;Inf;0,05;0,0163078930202218;1,83;0;86,6;Inf;3,87;0,25;0,8141;0,9453;NA;NA;5,7;0,02;0,01;0,131;6,5;0,53;6,58;6,42
"TVGR211X";0,37;0,6;3,29;7,23;58,5;57,55;58,5;58,1;0,39;8,19;2,49;0,98;0,05;0,1;0,077639751552795;0,01;0,00304460344040189;0,16;0,0361434896539261;31,11;0,165253245663069;1,42099152433469;4,78;2,37;0,18;Inf;0,05;0,0163078930202218;1,07;0;25,8;Inf;1,45;0,42;0,5343;0,6121;1,63;0,0389;5,6;0,54;0,71;0,055;4,3;0,35;5,69;5,54
"TVGR212X";0,025;0,6;24,2;15,72;280,7;277,48;280,7;281;0,05;89,08;1,77;3,09;0,01;0,05;0,0388198757763975;0,01;0,00304460344040189;0,16;0,0361434896539261;3,84;0,0780079688707255;0,464090396422096;7,95;4,07;0,18;Inf;0,05;0,0163078930202218;3,06;0;39;0,32;6,38;0,7;2,6568;2,9313;0,61;0,015;6,3;3,22;1,15;0,046;0,6;0,4;6,84;6,73
